Country,Job_Title,Max_Salary
Canada,"Senior software engineer",229840
Canada,"Director, Human Resources",225012
Canada,"Senior Engineering Director",224400
Canada,"Engineering Manager",224400
Canada,"Sr Project Engineer",224400
Canada,CTO,224400
Canada,"Director of Marketing",224400
Canada,"Senior Sales Engineer",224400
Canada,"Director, IT",224400
Canada,"Director of policy",221680
Canada,"Director of software programs",217600
Canada,"Director of Economics",217600
Canada,"Director of customer success management",217600
Canada,"Enterprise Risk Manager",217600
Canada,"Associate Lawyer",214880
Canada,"Associate Professor, Theatre",214341.44
Canada,"Sr Software Engineer",213520
Canada,"Regional Crown",213520
Canada,"Senior Technical Writer (contract)",212160
Canada,"Associate Vice President Students",210800
Canada,"Director, Marketing",210800
Canada,"Senior Software Architect",210800
Canada,"Staff Software Developer",208080
Canada,"Senior Program Manager",208080
Canada,"Software Developer",206720
Canada,Manager,206720
Canada,"Senior Marketing Manager",204000
Canada,"Principal Counsel",204000
Canada,"Director of content strategy",204000
Canada,"Associate - Labour & Employment",204000
Canada,"Director of Mortgage Operations",204000
Canada,VP,204000
Canada,"Shift Control Technician",204000
Canada,Owner/Operator,204000
Canada,"Vice President Commercial Banking",200600
Canada,"Finance Manager",199155.68
Canada,"IT Director",197200
Canada,"Massage Therapist",197200
Canada,"Senior Manager, Software Development",195840
Canada,"General Manager",195840
Canada,Partner,195840
Canada,"Data Scientist",194480
Canada,"Regional sales leader",190400
Canada,"Senior Developer",190400
Canada,"Director of Business Development",190400
Canada,"Senior researcher",190400
Canada,"Associate Professor of Business",190400
Canada,"VP HR",190400
Canada,"Planning Team Lead",190400
Canada,"Data Ops Lead",190400
Canada,"Software Development Engineer",188360
Canada,Economist,187680
Canada,"Engineering Supervisor",186320
Canada,"Deputy Director",184960
Canada,"Administrative justice",183600
Canada,"Engineering Director",183600
Canada,"Senior Security Engineer",183600
Canada,"Solution Architect",183600
Canada,"Chief of Staff",183600
Canada,"Lead Engineer",183600
Canada,Superintendent,183600
Canada,"Director, Clinical Operations",182240
Canada,"Assistant Research Engineer",180880
Canada,"Senior Software Developer",180200
Canada,"Library Department Head",180200
Canada,"Director, Federal Real Property Policy",179656
Canada,"Director Strategy and Government Relations",179520
Canada,"Director, Development",179520
Canada,"Senior front end Developer",178160
Canada,"Communication Specialist",176800
Canada,"Business Development Manager",176800
Canada,"Associate Professor",176800
Canada,"Senior Business Analyst",176800
Canada,"Tech Lead",176800
Canada,"Senior Associate",176800
Canada,Controller,176800
Canada,Counsel,176800
Canada,"Director of Finance",176800
Canada,"Extern coordinator",176800
Canada,"Senior scientist",176800
Canada,"Sr. In house counsel",175440
Canada,"Senior Production Engineer",174080
Canada,"Product researcher",174080
Canada,"character artist",172720
Canada,"Project Estimator / Senior Mining Engineer",172720
Canada,"Assistant Deputy Minister",171768
Canada,"VP Client Services",171360
Canada,"Hospital vice president",171360
Canada,"Senior Product Manager",171360
Canada,"Senior Sitecore software developer",171360
Canada,"Health and Safety Advisor",170000
Canada,"UX consultant",170000
Canada,"National Director of Science",170000
Canada,"Senior civil engineer",170000
Canada,"Product Manager",170000
Canada,"Senior Engineer",170000
Canada,"Senior Data Scientist",170000
Canada,"Environmental Technical Analyst",169728
Canada,"Senior Manager, Technical Program Management",168946
Canada,"Assistant Professor",168640
Canada,"Senior Technical Writer",168640
Canada,"Director of customer success",168096
Canada,"Site Reliability Engineer",167280
Canada,"Electrical engineer",164560
Canada,"Technical Marketing Specialist",164560
Canada,"Software Engineer III",164560
Canada,"brand manager",163880
Canada,"Director, Project Management Office",163200
Canada,"Analytics Manager",163200
Canada,"Corporate Development",163200
Canada,"Staff Engineer",163200
Canada,"Director, Content and Operations",163200
Canada,"Research Director",163200
Canada,"Senior Manager Customer Support",163200
Canada,"President - machine safety consultant",163200
Canada,"Senior Manager, Planning",163200
Canada,"Communications Lead",163200
Canada,"Project Director",163200
Canada,"Software Developer - Team Lead",163200
Canada,"Engineering specialist",163200
Canada,"Senior Tax Manager",163200
Canada,"hydro electric operating supervisor",163200
Canada,"Associate Strategy Director",163200
Canada,"Software Architect",163200
Canada,"Manager, [Department Name]",163200
Canada,"Instructor, University Studies",163200
Canada,"iOS Developer",163200
Canada,"Director of Claims",163200
Canada,"Assistant service manager",163200
Canada,"Facility Manager",163200
Canada,"Senior Scientific Evaluator",163084.4
Canada,"Regulatory toxicologist",163084.4
Canada,"Senior Economist",161840
Canada,"Director, Advancement Services",160480
Canada,"Lawyer / Public servant",160480
Canada,"Senior Policy Analyst",160480
Canada,"Manager, cash management",160480
Canada,"Information Security Advisor",160208
Canada,"Manager of Business Development",159936
Canada,"Head of partnerships",159120
Canada,"Learning and Development Manager",159120
Canada,"SALES MANAGER",159120
Canada,"System Software Engineer",157760
Canada,"Senior Communications Manager",156400
Canada,"Director of Information Systems",156400
Canada,"Director, Finance",156400
Canada,"Director of Engineering",156400
Canada,"Senior Manager",156400
Canada,"Operations Manager",156400
Canada,"Manager, communications",155845.12
Canada,"Policy Advisor",155584
Canada,"Risk Assessor",153680
Canada,"Game Developer",153680
Canada,"Writer (Video Games)",153408
Canada,"Analytics Specialist",153000
Canada,"Project Engineer",152755.2
Canada,"Data librarian",152320
Canada,"Corporate and Strategic Planner",152320
Canada,"Scientific Director",152320
Canada,"senior manager network",151096
Canada,"Registered Nurse",150960
Canada,Analyst,149600
Canada,"Communications Manager",149600
Canada,"Medical science liaison",149600
Canada,"Freelance videographer",149600
Canada,"UX/Product Designer",149600
Canada,"Groundwater manager",149600
Canada,"Library Director",149600
Canada,"Senior Manager, Learning & Development",149600
Canada,"Protection and Control Technician",149600
Canada,"Civil Engineer",149600
Canada,"Assistant Director",149600
Canada,"Human Resources Manager",149600
Canada,"Senior Product Designer",149600
Canada,"Branch Manager",149600
Canada,"Reservoir Engineer",149600
Canada,"Senior Financial Systems Analyst",149600
Canada,"Senior Developer Relations Manager",149600
Canada,"Senior Site Reliability Engineer",149600
Canada,"Manager, International  (Student) Recruitment",149600
